user_id,full_name,email,phone_number,gender,age,registration_date,account_status,device_id,location,country,typical_device,typical_browser,typical_payment_method,session_id,timestamp,action,product_id,device_type,browser,geo_location,session_duration,product_name,category,price,discount,vendor_id,transaction_id,order_id,quantity,payment_method,payment_status,amount,currency,delivery_address,return_request,refund_status,rating,is_fraud,fraud_type,ip_address
USER1176,Elizabeth Ekwueme,samueluche@example.org,+2347934258837,Male,63,2024-09-01T06:27:59+00:00,active,DEV89210,Lagos,Nigeria,mobile,Safari,USSD,SESS45163,2025-10-19T15:54:38.818957+00:00,view_product,PROD3385,mobile,Safari,"Lagos, Nigeria",1554,Electronics Product 87,Electronics,192823.16,5,JumiaFlash,TXN808517,ORD334190,5,USSD,success,385646.32,NGN,"882 Philip Grove, Lagos",False,none,2,0,none,197.210.165.87
USER1534,Sarah Ekwueme,obiandrew@example.net,+2347604005812,Female,53,2023-11-16T16:14:54+00:00,active,DEV79404,Abuja,Nigeria,mobile,Firefox,Bank Transfer,SESS86138,2025-10-19T15:50:18.420774+00:00,purchase,PROD2099,mobile,Firefox,"Abuja, Nigeria",406,Computers Product 26,Computers,585890.82,10,KongaDeals,TXN568451,ORD594972,3,Bank Transfer,success,585890.82,NGN,"429 Ruth Forest, Abuja",False,none,2,1,account_takeover,185.100.160.62
USER1186,James Okafor,corneliusobasanjo@example.org,+2347513375507,Male,51,2024-12-10T17:27:16+00:00,active,DEV54240,Kano,Nigeria,mobile,Safari,Bank Transfer,SESS20224,2025-10-19T15:57:45.806806+00:00,purchase,PROD3773,mobile,Safari,"Kano, Nigeria",1195,Computers Product 5,Computers,160647.86,0,KongaDeals,TXN589412,ORD189898,2,Bank Transfer,success,113033.68688972438,NGN,"18 Eze Corners, Kano",False,none,2,1,merchant_collusion,197.210.252.32
USER1315,Mary Balogun,julietogunleye@example.org,+2347651401624,Male,56,2025-07-18T15:26:48+00:00,active,DEV66486,Warri,Nigeria,tablet,Safari,Mobile Money,SESS44635,2025-10-19T15:51:15.424200+00:00,browse,PROD6759,tablet,Safari,"Warri, Nigeria",1029,Fashion Product 27,Fashion,41851.55,0,NaijaMarket,TXN470977,ORD861740,3,Mobile Money,success,85712.51113294488,NGN,"489 Ibrahim Flats, Warri",False,none,3,1,merchant_collusion,197.210.117.186
USER1688,Faith Eze,cornelius99@example.org,+2347582963580,Male,41,2024-02-16T09:46:51+00:00,active,DEV57137,Ibadan,Nigeria,tablet,Firefox,USSD,SESS17888,2025-10-19T15:56:44.503173+00:00,login,PROD2015,tablet,Firefox,"Ibadan, Nigeria",116,Phones & Tablets Product 74,Phones & Tablets,63246.28,10,KongaDeals,TXN909595,ORD691438,2,USSD,success,126492.56,NGN,"812 Samuel Plains, Ibadan",False,none,5,0,none,197.210.126.181
USER1749,Juliet Adeyemi,mary44@example.org,+2348079780984,Female,65,2024-03-28T22:48:32+00:00,inactive,DEV63526,Port Harcourt,Nigeria,mobile,Chrome,Mobile Money,SESS98559,2025-10-19T15:55:26.953262+00:00,view_product,PROD6554,mobile,Chrome,"Port Harcourt, Nigeria",103,Fashion Product 83,Fashion,8130.31,0,NaijaMarket,TXN891280,ORD280540,3,Mobile Money,success,24390.93,NGN,"478 Grace Brook, Port Harcourt",False,none,1,0,none,197.210.127.118
USER1359,Deborah Ibrahim,josephchukwu@example.net,+2347253862330,Male,51,2024-05-19T12:46:20+00:00,active,DEV95652,Aba,Nigeria,mobile,Safari,USSD,SESS35688,2025-10-19T15:54:37.776412+00:00,browse,PROD5028,mobile,Safari,"Aba, Nigeria",1792,Home & Kitchen Product 39,Home & Kitchen,11915.55,0,QuickDealsNG,TXN408590,ORD204857,2,USSD,success,147163.04410822774,NGN,"306 Akinwale Mountains, Aba",False,none,1,1,merchant_collusion,197.210.142.40
USER1800,Cornelius Adeyemi,aekwueme@example.com,+2347385724585,Male,51,2024-02-14T08:41:32+00:00,active,DEV44551,Onitsha,Nigeria,desktop,Safari,Card,SESS62526,2025-10-19T15:58:28.943694+00:00,login,PROD1141,desktop,Safari,"Onitsha, Nigeria",433,Electronics Product 80,Electronics,156820.12,15,JumiaFlash,TXN364683,ORD620579,1,Card,success,470460.36,NGN,"939 Balogun Plains, Onitsha",False,none,2,0,none,197.210.217.82
USER1242,James Ibrahim,markadeyemi@example.com,+2347096762602,Female,31,2024-04-01T23:45:15+00:00,active,DEV74907,Aba,Nigeria,mobile,Safari,USSD,SESS15191,2025-10-19T15:52:09.736135+00:00,add_to_cart,PROD1322,mobile,Safari,"Aba, Nigeria",1429,Health & Beauty Product 37,Health & Beauty,24718.89,0,JumiaFlash,TXN757263,ORD519263,5,USSD,success,74156.67,NGN,"133 Ogunleye Spurs, Aba",False,none,5,0,none,197.210.120.8
USER1945,Cornelius Olawale,stephenuche@example.net,+2347630198316,Male,50,2025-03-20T18:36:09+00:00,active,DEV14354,Aba,Nigeria,desktop,Safari,Pay on Delivery,SESS33229,2025-10-19T15:53:56.703916+00:00,browse,PROD3635,desktop,Safari,"Aba, Nigeria",1583,Phones & Tablets Product 57,Phones & Tablets,174982.82,10,VEND861,TXN124419,ORD216848,3,Pay on Delivery,success,349965.64,NGN,"612 Uche Prairie, Aba",False,none,3,0,none,197.210.144.90
